*Metro*,"*Overall*


*Median Rent*","*Overall*


*Rent YY*","*Studio*


*Median Rent*","*Studio*


*Rent YY*",*1-br  Median Rent*,"*1-br*


*Rent YY*","*2-br Median *

*Rent*","*2-br*


*Rent YY*"
,,,,,,,,
"Atlanta-Sandy

*  Springs-Roswell, Ga*.","$1,703",-0.8 %,"$1,661",2.8 %,"$1,596",-1.1 %,"$1,859",-0.4 %
"*Austin-Round Rock, Texas*","$1,703",2.0 %,"$1,495",6.4 %,"$1,551",-0.5 %,"$1,869",2.3 %
"*Baltimore-Columbia-Towson,  Md*.","$1,755",2.9 %,"$1,363",-1.0 %,"$1,672",3.1 %,"$1,894",4.0 %
"*Birmingham-Hoover, Ala.*","$1,137",3.1 %,$952,-9.9 %,"$1,055",1.8 %,"$1,199",7.6 %
"*Boston-Cambridge-Newton, Mass.-N.H*.","$2,894",12.8 %,"$2,706",25.0 %,"$2,738",12.2 %,"$3,152",11.0 %
"*Buffalo-Cheektowaga-Niagara Falls, N.Y*.","$1,164",0.0 %,$856,7.3 %,"$1,202",10.6 %,"$1,190",3.6 %
"*Charlotte-Concord-Gastonia, N.C.-S.C*.","$1,606",3.4 %,"$1,511",8.6 %,"$1,528",3.4 %,"$1,725",2.4 %
"Chicago-Naperville-Elgin,

*  Ill.-Ind.-Wisc.*","$2,032",23.7 %,"$1,720",51.0 %,"$1,951",22.4 %,"$2,183",20.9 %
"*Cincinnati, Ohio-Ky.-Ind.*","$1,273",7.0 %,"$1,182",8.6 %,"$1,212",6.5 %,"$1,444",7.6 %
"*Cleveland-Elyria, Ohio*","$1,169",4.6 %,$892,7.9 %,"$1,096",0.3 %,"$1,287",9.0 %
"*Columbus, Ohio*","$1,237",5.8 %,$962,7.0 %,"$1,176",7.4 %,"$1,319",3.5 %
"*Dallas-Fort Worth-Arlington, Texas*","$1,595",5.8 %,"$1,347",5.7 %,"$1,445",4.5 %,"$1,854",5.1 %
"*Denver-Aurora-Lakewood, Colo.*","$1,907",1.1 %,"$1,607",1.3 %,"$1,781",0.3 %,"$2,211",1.0 %
"Detroit-Warren-Dearborn,

* Mich.*","$1,247",8.6 %,"$1,171",14.6 %,"$1,099",7.7 %,"$1,379",6.7 %
"*Hartford-West Hartford-East Hartford, Conn.*","$1,726",9.4 %,"$1,607",18.4 %,"$1,508",4.8 %,"$1,894",2.7 %
"*Houston-The Woodlands-Sugar Land, Texas*","$1,376",2.9 %,"$1,268",2.7 %,"$1,267",2.7 %,"$1,513",2.9 %
"*Indianapolis-Carmel-Anderson, Ind.*","$1,276",9.4 %,"$1,114",8.7 %,"$1,160",9.0 %,"$1,341",4.3 %
"*Jacksonville, Fla.*","$1,463",1.3 %,"$1,116",10.7 %,"$1,341",1.2 %,"$1,555",-4.6 %
"*Kansas City, Mo.-Kan.*","$1,274",8.7 %,"$1,019",8.8 %,"$1,209",10.2 %,"$1,479",8.9 %
