,,,,,
OCCUPATION,"ENTRY-LEVEL
EDUCATION","ON-THE-JOB
TRAINING","PROJECTED NUMBER
OF NEW JOBS","PROJECTED
GROWTH RATE",2021 MEDIAN PAY
,,,,,
* Art directors*,Bachelor’s degree,None,"1,000 to 4,999",As fast as average,"$80,000 or more"
* Craft artists*,No formal educational credential,Long-term on-the-job training,0 to 999,As fast as average,"$30,000 to $39,999"
"* Fine artists, including painters, sculptors, and illustrators*",Bachelor’s degree,Long-term on-the-job training,"1,000 to 4,999",As fast as average,"$60,000 to $79,999"
* Special effects artists and animators*,Bachelor’s degree,None,"1,000 to 4,999",As fast as average,"$60,000 to $79,999"
"* Artists and related workers, all other*",No formal educational credential,Long-term on-the-job training,0 to 999,As fast as average,"$60,000 to $79,999"
* Commercial and industrial designers*,Bachelor’s degree,None,0 to 999,Slower than average,"$60,000 to $79,999"
* Fashion designers*,Bachelor’s degree,None,0 to 999,Slower than average,"$60,000 to $79,999"
* Floral designers*,High school diploma or equivalent,Moderate-term on-the-job training,Declining,Decline,"Less than $30,000"
* Graphic designers*,Bachelor’s degree,None,"5,000 to 9,999",Slower than average,"$40,000 to $59,999"
* Interior designers*,Bachelor’s degree,None,0 to 999,Little or no change,"$60,000 to $79,999"
* Merchandise displayers and window trimmers*,High school diploma or equivalent,Short-term on-the-job training,"5,000 to 9,999",As fast as average,"$30,000 to $39,999"
* Set and exhibit designers*,Bachelor’s degree,None,"1,000 to 4,999",As fast as average,"$40,000 to $59,999"
"* Designers, all other*",Bachelor’s degree,None,"1,000 to 4,999",Slower than average,"$60,000 to $79,999"
* Actors*,"Some college, no degree",Long-term on-the-job training,"1,000 to 4,999",Faster than average,The annual wage is not available.
* Producers and directors*,Bachelor’s degree,None,"10,000 to 49,999",Faster than average,"$60,000 to $79,999"
"* Dentists, all other specialists*",Doctoral or professional degree,Internship/residency,0 to 999,Little or no change,"$80,000 or more"
* Dietitians and nutritionists*,Bachelor’s degree,Internship/residency,"5,000 to 9,999",As fast as average,"$60,000 to $79,999"
* Optometrists*,Doctoral or professional degree,None,"1,000 to 4,999",Faster than average,"$80,000 or more"
* Pharmacists*,Doctoral or professional degree,None,"5,000 to 9,999",Slower than average,"$80,000 or more"
* Physician assistants*,Master’s degree,None,"10,000 to 49,999",Much faster than average,"$80,000 or more"
* Podiatrists*,Doctoral or professional degree,Internship/residency,0 to 999,Slower than average,"$80,000 or more"
* Occupational therapists*,Master’s degree,None,"10,000 to 49,999",Much faster than average,"$80,000 or more"
* Physical therapists*,Doctoral or professional degree,None,"10,000 to 49,999",Much faster than average,"$80,000 or more"
* Radiation therapists*,Associate’s degree,None,"1,000 to 4,999",As fast as average,"$80,000 or more"
* Recreational therapists*,Bachelor’s degree,None,0 to 999,As fast as average,"$40,000 to $59,999"
* Respiratory therapists*,Associate’s degree,None,"10,000 to 49,999",Much faster than average,"$60,000 to $79,999"
* Speech-language pathologists*,Master’s degree,Internship/residency,"10,000 to 49,999",Much faster than average,"$60,000 to $79,999"
* Exercise physiologists*,Bachelor’s degree,None,"1,000 to 4,999",Faster than average,"$40,000 to $59,999"
"* Therapists, all other*",Bachelor’s degree,None,"1,000 to 4,999",Much faster than average,"$40,000 to $59,999"
* Veterinarians*,Doctoral or professional degree,None,"10,000 to 49,999",Much faster than average,"$80,000 or more"
* Registered nurses*,Bachelor’s degree,None,"50,000 or more",As fast as average,"$60,000 to $79,999"
* Nurse anesthetists*,Master’s degree,None,"5,000 to 9,999",Much faster than average,"$80,000 or more"
* Nurse midwives*,Master’s degree,None,0 to 999,As fast as average,"$80,000 or more"
* Athletes and sports competitors*,No formal educational credential,Long-term on-the-job training,"5,000 to 9,999",Much faster than average,"$60,000 to $79,999"
* Prosthodontists*,Doctoral or professional degree,Internship/residency,0 to 999,As fast as average,"$80,000 or more"
* Anesthesiologists*,Doctoral or professional degree,Internship/residency,0 to 999,Little or no change,"$80,000 or more"
* Cardiologists*,Doctoral or professional degree,Internship/residency,0 to 999,Slower than average,"$80,000 or more"
* Dermatologists*,Doctoral or professional degree,Internship/residency,0 to 999,Slower than average,"$80,000 or more"
